ptp,counterbalancing,rt,mouse_clientX,mouse_clientY,row,col,correct,pa_center_x,pa_center_y,condition,arrangement,block,block_trial_idx,hidden_pa_img,hidden_pa_img_type,corr_row,corr_col,top_offset,left_offset,time_elapsed,mouse_dist_cb,mouse_error,hidden_pa_img_row_number,hidden_pa_img_row_number_across_blocks,dist_border_l,dist_border_r,dist_border_t,dist_border_b,border_dist_closest,border_dist_summed,display_information.wrapper_arena_position.x,display_information.wrapper_arena_position.y,display_information.wrapper_arena_position.width,display_information.wrapper_arena_position.height,display_information.wrapper_arena_position.top,display_information.wrapper_arena_position.right,display_information.wrapper_arena_position.bottom,display_information.wrapper_arena_position.left,display_information.grid_border_position.x,display_information.grid_border_position.y,display_information.grid_border_position.width,display_information.grid_border_position.height,display_information.grid_border_position.top,display_information.grid_border_position.right,display_information.grid_border_position.bottom,display_information.grid_border_position.left,display_information.grid_box_position.x,display_information.grid_box_position.y,display_information.grid_box_position.width,display_information.grid_box_position.height,display_information.grid_box_position.top,display_information.grid_box_position.right,display_information.grid_box_position.bottom,display_information.grid_box_position.left,display_information.window_scroll_x,display_information.window_scroll_y,display_information.window_innerHeight,display_information.window_innerWidth,display_information.window_outerHeight,display_information.window_outerWidth
sub_001,cb3,699.4000000003725,764,495,9,10,1,762.4583549499512,509.1250114440918,practice2,7,1,5,img/targets/BOSS/high_familiarity_downsized/practice2/021_couch02.jpg,near,9,10,124,55,29672,15.666656494140625,14.208892207208283,2,2,9,2,8,3,2,5,280.66668701171875,0,702,702,0,982.66668701171875,702,280.66668701171875,336.66668701171875,125,560,560,125,896.66668701171875,685,336.66668701171875,366.66668701171875,155,500,500,155,866.66668701171875,655,366.66668701171875,0,0,720,1280,720,1280
sub_001,cb3,1046.2000000001863,528,285,6,4,0,482.7916679382324,349.4583549499512,practice2,7,1,6,img/targets/BOSS/high_familiarity_downsized/practice2/019_cartonofeggs.jpg,,8,3,6,67,35736,109.66668701171875,78.73165062832696,2,2,2,9,7,4,2,6,280.66668701171875,0,702,702,0,982.66668701171875,702,280.66668701171875,348.66668701171875,7,560,560,7,908.66668701171875,567,348.66668701171875,378.66668701171875,37,500,500,37,878.66668701171875,537,378.66668701171875,0,0,720,1280,720,1280
sub_001,cb3,1155.5,536,414,8,4,0,679.4583549499512,473.1250114440918,schema_4_2,1,1,1,img/targets/BOSS/high_familiarity_downsized/cond1/052_steeringwheel.jpg,far,9,7,88,97,6839,202.58336639404297,155.1646434701223,1,1,6,5,8,3,3,8,280.66668701171875,0,702,702,0,982.66668701171875,702,280.66668701171875,378.66668701171875,89,560,560,89,938.66668701171875,649,378.66668701171875,408.66668701171875,119,500,500,119,908.66668701171875,619,408.66668701171875,0,0,720,1280,720,1280
sub_001,cb3,638.4000000003725,418,390,6,2,0,564.7916679382324,309.7916679382324,schema_4_2,1,1,2,img/targets/BOSS/high_familiarity_downsized/cond1/046_redonion.jpg,near,4,6,133,24,12517,227,167.27573137852085,1,1,5,6,3,8,3,8,280.66668701171875,0,702,702,0,982.66668701171875,702,280.66668701171875,305.66668701171875,134,560,560,134,865.66668701171875,694,305.66668701171875,335.66668701171875,164,500,500,164,835.66668701171875,664,335.66668701171875,0,0,720,1280,720,1280
sub_001,cb3,647.3999999994412,536,307,5,5,0,620.4583549499512,489.1250114440918,schema_4_2,1,1,3,img/targets/BOSS/high_familiarity_downsized/cond1/052_steeringwheel.jpg,far,9,7,104,38,18221,266.58336639404297,200.75540718586512,2,2,6,5,8,3,3,8,280.66668701171875,0,702,702,0,982.66668701171875,702,280.66668701171875,319.66668701171875,105,560,560,105,879.66668701171875,665,319.66668701171875,349.66668701171875,135,500,500,135,849.66668701171875,635,349.66668701171875,0,0,720,1280,720,1280
sub_001,cb3,1957.8999999994412,517,318,7,5,0,411.1250114440918,223.4583396911621,schema_4_2,1,1,4,img/targets/BOSS/high_familiarity_downsized/cond1/078_pumpkin.jpg,,5,2,5,37,25217,200.4166488647461,141.94237822322614,1,1,1,10,4,7,1,5,280.66668701171875,0,702,702,0,982.66668701171875,702,280.66668701171875,318.66668701171875,6,560,560,6,878.66668701171875,566,318.66668701171875,348.66668701171875,36,500,500,36,848.66668701171875,536,348.66668701171875,0,0,720,1280,720,1280
sub_001,cb3,757,773,418,7,10,0,724.7916679382324,273.1250114440918,schema_4_2,1,1,5,img/targets/BOSS/high_familiarity_downsized/cond1/012_nosmokingsign.jpg,,3,9,138,59,31016,193.08332061767578,152.68531556522447,1,1,8,3,2,9,2,5,280.66668701171875,0,702,702,0,982.66668701171875,702,280.66668701171875,340.66668701171875,139,560,560,139,900.66668701171875,699,340.66668701171875,370.66668701171875,169,500,500,169,870.66668701171875,669,370.66668701171875,0,0,720,1280,720,1280
sub_001,cb3,588.5,419,284,5,3,0,542.7916679382324,239.79166793823242,schema_4_2,1,1,6,img/targets/BOSS/high_familiarity_downsized/cond1/046_redonion.jpg,near,4,6,63,2,36623,168,131.44867315653326,2,2,5,6,3,8,3,8,280.66668701171875,0,702,702,0,982.66668701171875,702,280.66668701171875,283.66668701171875,64,560,560,64,843.66668701171875,624,283.66668701171875,313.66668701171875,94,500,500,94,813.66668701171875,594,313.66668701171875,0,0,720,1280,720,1280
sub_001,cb3,469.09999999962747,438,290,3,2,0,727.7916679382324,274.1250114440918,schema_4_2,1,1,7,img/targets/BOSS/high_familiarity_downsized/cond1/012_nosmokingsign.jpg,,3,9,139,62,42112,305.6666564941406,290.2261636518544,2,2,8,3,2,9,2,5,280.66668701171875,0,702,702,0,982.66668701171875,702,280.66668701171875,343.66668701171875,140,560,560,140,903.66668701171875,700,343.66668701171875,373.66668701171875,170,500,500,170,873.66668701171875,670,373.66668701171875,0,0,720,1280,720,1280
sub_001,cb3,574.2999999998137,523,349,7,3,0,593.1250419616699,333.7916679382324,schema_4_2,1,1,8,img/targets/BOSS/high_familiarity_downsized/cond1/036_table01.jpg,near,7,5,32,94,47704,85.3333740234375,71.75524283442259,1,1,4,7,6,5,4,9,280.66668701171875,0,702,702,0,982.66668701171875,702,280.66668701171875,375.66668701171875,33,560,560,33,935.66668701171875,593,375.66668701171875,405.66668701171875,63,500,500,63,905.66668701171875,563,405.66668701171875,0,0,720,1280,720,1280
