ptp,counterbalancing,batch_id,qc_fail_overall,qc_fail_manual,qc_fail_break_rt,qc_fail_missing_or_fast,qc_fail_mouse_error,n_unique_scroll,qc_fail_display_issues,qc_fail_iqr
sub_073,cb1,4,FALSE,,FALSE,FALSE,FALSE,1,FALSE,
sub_074,cb2,4,FALSE,,FALSE,FALSE,FALSE,1,FALSE,
sub_075,cb4,4,FALSE,,FALSE,FALSE,FALSE,1,FALSE,
sub_076,cb1,4,FALSE,,FALSE,FALSE,FALSE,1,FALSE,
sub_077,cb3,4,FALSE,,FALSE,FALSE,FALSE,1,FALSE,
sub_078,cb1,4,FALSE,,FALSE,FALSE,FALSE,1,FALSE,
sub_079,cb4,5,FALSE,,FALSE,FALSE,FALSE,1,FALSE,
sub_080,cb2,5,FALSE,,FALSE,FALSE,FALSE,1,FALSE,
sub_081,cb2,5,FALSE,,FALSE,FALSE,FALSE,1,FALSE,
sub_082,cb2,5,FALSE,,FALSE,FALSE,FALSE,1,FALSE,
sub_083,cb1,5,FALSE,,FALSE,FALSE,FALSE,1,FALSE,
sub_084,cb2,5,FALSE,,FALSE,FALSE,FALSE,1,FALSE,
sub_085,cb4,,TRUE,,FALSE,TRUE,FALSE,1,FALSE,
sub_086,cb3,,TRUE,,FALSE,FALSE,FALSE,45,TRUE,
sub_087,cb3,,TRUE,,TRUE,FALSE,FALSE,1,FALSE,
sub_088,cb4,5,FALSE,,FALSE,FALSE,FALSE,1,FALSE,
sub_089,cb1,5,FALSE,,FALSE,FALSE,FALSE,1,FALSE,
sub_090,cb3,5,FALSE,,FALSE,FALSE,FALSE,1,FALSE,
sub_091,cb1,5,FALSE,,FALSE,FALSE,FALSE,1,FALSE,
sub_092,cb2,5,FALSE,,FALSE,FALSE,FALSE,1,FALSE,
sub_093,cb1,5,FALSE,,FALSE,FALSE,FALSE,1,FALSE,
sub_094,cb3,5,FALSE,,FALSE,FALSE,FALSE,1,FALSE,
sub_095,cb2,5,FALSE,,FALSE,FALSE,FALSE,1,FALSE,
sub_096,cb4,5,FALSE,,FALSE,FALSE,FALSE,1,FALSE,
sub_097,cb3,5,FALSE,,FALSE,FALSE,FALSE,1,FALSE,
sub_098,cb4,,TRUE,TRUE,FALSE,FALSE,FALSE,1,FALSE,
sub_099,cb3,6,FALSE,,FALSE,FALSE,FALSE,1,FALSE,
sub_100,cb3,6,FALSE,,FALSE,FALSE,FALSE,1,FALSE,
